0,0,0,0:00:15.508964
0,0,1,0:00:15.681281
1,0,2,0:00:15.669155
1,0,3,0:00:17.085638
0,0,4,0:00:16.446432
1,0,5,0:00:16.480866
1,1,0,0:00:16.688376
1,1,1,0:00:16.790915
0,1,2,0:00:17.214834
1,1,3,0:00:17.026053
1,1,4,0:00:17.125014
0,1,5,0:00:17.455668
0,2,0,0:00:44.230810
0,2,1,0:00:44.390635
0,2,2,0:00:43.539241
0,2,3,0:00:44.690907
0,2,4,0:00:44.887387
1,2,5,0:00:44.475427
1,3,0,0:00:43.489123
1,3,1,0:00:44.690274
1,3,2,0:00:46.934832
0,3,3,0:00:44.824418
1,3,4,0:00:44.249846
0,3,5,0:00:45.015935
0,4,0,0:00:44.001380
1,4,1,0:00:43.519847
0,4,2,0:00:45.264819
1,4,3,0:00:44.812018
0,4,4,0:00:44.629468
0,4,5,0:00:44.606729
1,5,0,0:00:45.399833
1,5,1,0:00:45.445972
1,5,2,0:00:44.670570
1,5,3,0:00:43.742231
1,5,4,0:00:44.097822
1,5,5,0:00:46.323789
1,6,0,0:00:43.096548
1,6,1,0:00:42.387913
1,6,2,0:00:42.424426
1,6,3,0:00:43.770235
0,6,4,0:00:44.368069
1,6,5,0:00:44.024452
0,7,0,0:00:44.720945
0,7,1,0:00:44.897933
0,7,2,0:00:45.166286
1,7,3,0:00:44.789061
1,7,4,0:00:45.007205
0,7,5,0:00:47.900132
0,8,0,0:00:43.605711
1,8,1,0:00:42.236175
1,8,2,0:00:46.344761
0,8,3,0:00:43.998511
1,8,4,0:00:42.630179
1,8,5,0:00:43.914730
1,9,0,0:00:45.060486
0,9,1,0:00:46.815266
1,9,2,0:00:43.421617
1,9,3,0:00:45.663983
0,9,4,0:00:44.400046
0,9,5,0:00:45.609480
0,10,0,0:00:43.559622
1,10,1,0:00:45.099947
0,10,2,0:00:45.873619
1,10,3,0:00:43.344022
1,10,4,0:00:44.451405
1,10,5,0:00:43.739923
1,11,0,0:00:44.880120
0,11,1,0:00:44.784803
0,11,2,0:00:45.934941
0,11,3,0:00:47.042475
1,11,4,0:00:48.819044
1,11,5,0:00:46.155372
0,12,0,0:00:43.325495
0,12,1,0:00:44.480474
1,12,2,0:00:43.966545
0,12,3,0:00:43.766971
1,12,4,0:00:44.312412
1,12,5,0:00:44.589952
1,13,0,0:00:42.770379
0,13,1,0:00:46.596196
0,13,2,0:00:44.768997
1,13,3,0:00:45.468041
0,13,4,0:00:44.290369
1,13,5,0:00:43.895586
1,14,0,0:00:45.792674
1,14,1,0:00:44.804632
0,14,2,0:00:42.538678
1,14,3,0:00:42.060793
0,14,4,0:00:43.825262
1,14,5,0:00:46.400057
1,15,0,0:00:43.734176
1,15,1,0:00:42.938486
0,15,2,0:00:45.795974
1,15,3,0:00:44.384963
1,15,4,0:00:44.521548
1,15,5,0:00:45.859789
1,16,0,0:00:43.563631
0,16,1,0:00:46.332779
1,16,2,0:00:41.889629
1,16,3,0:00:44.000139
1,16,4,0:00:44.141860
0,16,5,0:00:43.873021
1,17,0,0:00:43.629380
1,17,1,0:00:44.862672
0,17,2,0:00:45.586265
0,17,3,0:00:44.882393
1,17,4,0:00:45.602693
1,17,5,0:00:44.741549
0,18,0,0:00:44.113302
1,18,1,0:00:43.577950
1,18,2,0:00:43.808009
1,18,3,0:00:43.961074
1,18,4,0:00:44.080064
0,18,5,0:00:44.948300
0,19,0,0:00:45.029667
0,19,1,0:00:44.348428
1,19,2,0:00:45.004937
0,19,3,0:00:45.901452
1,19,4,0:00:45.594649
0,19,5,0:00:48.452517
0,20,0,0:00:44.127820
0,20,1,0:00:42.099179
1,20,2,0:00:43.705950
1,20,3,0:00:42.870074
0,20,4,0:00:43.602918
0,20,5,0:00:43.844694
0,21,0,0:00:46.146756
0,21,1,0:00:44.339108
0,21,2,0:00:45.608000
0,21,3,0:00:44.807826
1,21,4,0:00:46.523607
0,21,5,0:00:46.410139
1,22,0,0:00:41.500229
0,22,1,0:00:42.107810
0,22,2,0:00:43.336031
1,22,3,0:00:42.881501
1,22,4,0:00:43.078390
1,22,5,0:00:44.224483
0,23,0,0:00:46.104261
0,23,1,0:00:46.402479
0,23,2,0:00:43.594679
1,23,3,0:00:44.281781
1,23,4,0:00:46.505787
0,23,5,0:00:44.326483
0,24,0,0:00:42.055867
1,24,1,0:00:44.681017
0,24,2,0:00:43.291777
1,24,3,0:00:42.761131
0,24,4,0:00:43.646913
1,24,5,0:00:43.257218
0,25,0,0:00:45.124657
0,25,1,0:00:43.329476
0,0,0,0:00:16.355673
0,0,1,0:00:16.491751
0,0,2,0:00:17.751583
0,0,3,0:00:17.009847
0,0,4,0:00:17.368396
0,0,5,0:00:17.554009
0,1,0,0:00:17.785232
0,1,1,0:00:16.918252
0,1,2,0:00:17.015420
0,1,3,0:00:17.173679
0,1,4,0:00:17.277914
0,1,5,0:00:17.327393
0,0,0,0:00:16.277100
0,0,1,0:00:16.505540
0,0,2,0:00:17.743682
0,0,3,0:00:16.986914
0,0,4,0:00:17.303121
0,0,5,0:00:18.569537
0,1,0,0:00:16.761318
0,1,1,0:00:16.932870
0,1,2,0:00:19.046010
0,1,3,0:00:17.155511
0,1,4,0:00:17.234527
0,1,5,0:00:18.303353
1,0,0,0:00:16.029508
1,0,1,0:00:15.224015
1,0,2,0:00:15.494260
1,0,3,0:00:16.779018
1,0,4,0:00:18.047442
1,0,5,0:00:16.299112
1,1,0,0:00:17.543477
1,1,1,0:00:17.697952
1,1,2,0:00:16.833999
1,1,3,0:00:16.902639
1,1,4,0:00:17.987932
1,1,5,0:00:17.025523
1,0,0,0:00:15.296989
